epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4941,0.85991,2.5082,1.43016,0.73122,0.54891,0.79097,0.55744,0.90629,2.2919,1.58808,0.000328704,0.000328704,0.000328704
2,50.3871,0.81169,1.40996,1.35712,0.8085,0.65552,0.77222,0.5035,1.06215,1.53132,1.97198,0.000629266,0.000629266,0.000629266
3,75.7637,0.84894,1.28878,1.37056,0.79898,0.76885,0.88335,0.5931,1.00629,1.63939,1.69297,0.000896829,0.000896829,0.000896829
4,100.471,0.82409,1.1487,1.35763,0.88339,0.87114,0.92567,0.67534,0.85919,1.07916,1.5079,0.0008515,0.0008515,0.0008515
5,125.93,0.775,1.02681,1.30277,0.74666,0.76489,0.80709,0.52932,1.1182,1.36212,1.74607,0.000802,0.000802,0.000802
6,151.043,0.79026,0.99484,1.32109,0.82996,0.87117,0.87555,0.66532,0.81391,0.99321,1.45699,0.0007525,0.0007525,0.0007525
7,175.439,0.75704,0.89411,1.2918,0.85991,0.92229,0.9641,0.72096,0.78588,0.87818,1.41664,0.000703,0.000703,0.000703
8,200.488,0.72843,0.85972,1.27492,0.79002,0.83473,0.90649,0.69744,0.77595,1.27987,1.4311,0.0006535,0.0006535,0.0006535
9,224.643,0.68915,0.77464,1.25037,0.93604,0.91615,0.95488,0.74712,0.71765,0.73056,1.32785,0.000604,0.000604,0.000604
10,248.484,0.67205,0.71253,1.2316,0.96236,0.93147,0.97459,0.77257,0.68301,0.72121,1.30673,0.0005545,0.0005545,0.0005545
11,271.184,0.59757,0.78899,1.27231,0.94672,0.92875,0.97101,0.77234,0.66776,0.66114,1.24252,0.000505,0.000505,0.000505
12,293.877,0.5668,0.68007,1.22998,0.93399,0.93753,0.94875,0.77674,0.64892,0.69735,1.23944,0.0004555,0.0004555,0.0004555
13,316.76,0.5462,0.61789,1.21729,0.94624,0.96296,0.97796,0.81455,0.60001,0.55519,1.19143,0.000406,0.000406,0.000406
14,339.444,0.50442,0.55741,1.17259,0.9461,0.96072,0.98209,0.7942,0.66889,0.56828,1.27958,0.0003565,0.0003565,0.0003565
15,362.502,0.4942,0.53185,1.18355,0.97546,0.97483,0.98386,0.8314,0.59155,0.48753,1.17763,0.000307,0.000307,0.000307
16,386.339,0.46952,0.49895,1.16267,0.98421,0.95507,0.98776,0.84301,0.54082,0.44583,1.13417,0.0002575,0.0002575,0.0002575
17,409.649,0.457,0.47305,1.14005,0.9751,0.96552,0.98487,0.84753,0.52883,0.43783,1.11639,0.000208,0.000208,0.000208
18,432.534,0.44871,0.44397,1.13596,0.97513,0.96161,0.98594,0.85784,0.51083,0.40342,1.07968,0.0001585,0.0001585,0.0001585
19,455.476,0.42727,0.41377,1.10592,0.98173,0.96941,0.98917,0.85879,0.51178,0.38926,1.08764,0.000109,0.000109,0.000109
20,478.316,0.41275,0.39996,1.08882,0.97742,0.97598,0.98979,0.86167,0.50466,0.38433,1.08549,5.95e-05,5.95e-05,5.95e-05
